index,label,filepath,source_filepath,onset_s,offset_s,duration_s,n_frames,id
-1,Nothing,G:\F3\AuralF3_20240419\26D00033.WAV,G:\F3\AuralF3_20240419\26D00033.WAV,2044.234901048361,2052.087483509643,7.852582461281652,78,bg_0
-1,Nothing,G:\F3\AuralF3_20240419\26D00033.WAV,G:\F3\AuralF3_20240419\26D00033.WAV,2011.5578560471367,2018.6828523232007,7.124996276063957,71,bg_1
-1,Nothing,G:\F3\AuralF3_20240419\26D00033.WAV,G:\F3\AuralF3_20240419\26D00033.WAV,2303.5021839705055,2313.2705963110548,9.768412340549181,97,bg_2
-1,Nothing,G:\F3\AuralF3_20240419\26D00033.WAV,G:\F3\AuralF3_20240419\26D00033.WAV,2201.9017532574358,2203.6188327678533,1.717079510417686,17,bg_3
-1,Nothing,G:\F3\AuralF3_20240419\26D00033.WAV,G:\F3\AuralF3_20240419\26D00033.WAV,1829.3145148400197,1833.337096070229,4.022581230209521,40,bg_4
-1,Nothing,G:\F3\AuralF3_20240603\26D00573.WAV,G:\F3\AuralF3_20240603\26D00573.WAV,1074.8634576050752,1083.179692931148,8.316235326072885,83,bg_5
-1,Nothing,G:\F3\AuralF3_20240603\26D00573.WAV,G:\F3\AuralF3_20240603\26D00573.WAV,1.2745092363886166,3.933277093343997,2.6587678569553805,26,bg_6
-1,Nothing,G:\F3\AuralF3_20240603\26D00573.WAV,G:\F3\AuralF3_20240603\26D00573.WAV,1520.2318595561262,1528.5943556900556,8.362496133929529,83,bg_7
-1,Nothing,G:\F3\AuralF3_20240603\26D00573.WAV,G:\F3\AuralF3_20240603\26D00573.WAV,2323.0068034239125,2330.7086369547237,7.701833530811052,77,bg_8
-1,Nothing,G:\F3\AuralF3_20240603\26D00573.WAV,G:\F3\AuralF3_20240603\26D00573.WAV,10.621314743852837,19.605965396413715,8.984650652560878,89,bg_9
-1,Nothing,G:\F3\F3a_20250103\26D01286.WAV,G:\F3\F3a_20250103\26D01286.WAV,384.0503103664494,386.3993780910431,2.349067724593692,23,bg_10
-1,Nothing,G:\F3\F3a_20250103\26D01286.WAV,G:\F3\F3a_20250103\26D01286.WAV,1215.4682731321795,1217.4340233068212,1.9657501746417043,19,bg_11
-1,Nothing,G:\F3\F3a_20250103\26D01286.WAV,G:\F3\F3a_20250103\26D01286.WAV,749.0361763551189,756.6114168362432,7.575240481124263,75,bg_12
-1,Nothing,G:\F3\F3a_20250103\26D01286.WAV,G:\F3\F3a_20250103\26D01286.WAV,1708.4461128358028,1712.465480043134,4.019367207331254,40,bg_13
-1,Nothing,G:\F3\F3a_20250103\26D01286.WAV,G:\F3\F3a_20250103\26D01286.WAV,945.6380007019407,947.9379786132414,2.299977911300714,22,bg_14
-1,Nothing,G:\F3\F3a_20250403\26D01636.WAV,G:\F3\F3a_20250403\26D01636.WAV,320.2463505517533,322.90198936773675,2.6556388159833992,26,bg_15
-1,Nothing,G:\F3\F3a_20250403\26D01636.WAV,G:\F3\F3a_20250403\26D01636.WAV,333.40675879434986,338.059702023637,4.652943229287142,46,bg_16
-1,Nothing,G:\F3\F3a_20250403\26D01636.WAV,G:\F3\F3a_20250403\26D01636.WAV,1768.8446694694808,1772.3121525626102,3.46748309312939,34,bg_17
-1,Nothing,G:\F3\F3a_20250403\26D01636.WAV,G:\F3\F3a_20250403\26D01636.WAV,1677.5349266946832,1685.680188090903,8.145261396219617,81,bg_18
-1,Nothing,G:\F3\F3a_20250403\26D01636.WAV,G:\F3\F3a_20250403\26D01636.WAV,512.0040291905425,518.9877364783048,6.983707287762267,69,bg_19
-1,Nothing,G:\F3\F3a_20250118\26D01640.WAV,G:\F3\F3a_20250118\26D01640.WAV,1776.278037320465,1778.6771652439786,2.3991279235135288,23,bg_20
-1,Nothing,G:\F3\F3a_20250118\26D01640.WAV,G:\F3\F3a_20250118\26D01640.WAV,1191.5397417658817,1198.355824903506,6.816083137624306,68,bg_21
-1,Nothing,G:\F3\F3a_20250118\26D01640.WAV,G:\F3\F3a_20250118\26D01640.WAV,1751.24982071468,1759.1667465093888,7.916925794708695,79,bg_22
-1,Nothing,G:\F3\F3a_20250118\26D01640.WAV,G:\F3\F3a_20250118\26D01640.WAV,194.09628350594832,195.92435498816107,1.8280714822127457,18,bg_23
-1,Nothing,G:\F3\F3a_20250118\26D01640.WAV,G:\F3\F3a_20250118\26D01640.WAV,1751.5206624233617,1758.3704905603713,6.849828137009481,68,bg_24
-1,Nothing,G:\F3\F3a_20250118\26D01643.WAV,G:\F3\F3a_20250118\26D01643.WAV,431.4622008714605,439.22969001691274,7.7674891454522434,77,bg_25
-1,Nothing,G:\F3\F3a_20250118\26D01643.WAV,G:\F3\F3a_20250118\26D01643.WAV,118.97640137615514,124.7354056824061,5.759004306250961,57,bg_26
